team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Chicago Blackhawks,2005-10-05,0,3,5,11.1,77.8,39.0,24.0,43.9,Anaheim Ducks,vs,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-10-07,2,6,3,42.9,75.0,26.0,24.0,52.6,San Jose Sharks,vs,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-10-09,0,2,3,12.5,75.0,32.0,27.0,55.2,Columbus Blue Jackets,vs,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-10-11,0,1,4,16.7,83.3,33.0,23.0,50.9,St. Louis Blues,@,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-10-14,2,2,2,0.0,83.3,40.0,29.0,37.5,Colorado Avalanche,@,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-10-15,0,3,4,0.0,81.8,27.0,44.0,48.4,San Jose Sharks,@,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-10-18,0,2,6,40.0,70.0,26.0,25.0,52.3,Vancouver Canucks,@,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-10-23,2,4,2,20.0,88.9,32.0,17.0,47.1,Minnesota Wild,vs,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-10-25,0,3,5,7.7,83.3,41.0,22.0,52.6,Nashville Predators,@,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-10-27,0,2,5,0.0,60.0,23.0,28.0,49.1,Detroit Red Wings,@,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-10-29,0,2,4,0.0,75.0,25.0,37.0,50.8,Detroit Red Wings,vs,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-11-01,0,1,4,16.7,66.7,32.0,20.0,30.3,Detroit Red Wings,@,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-11-02,2,6,5,25.0,72.7,32.0,37.0,46.8,St. Louis Blues,@,,,,,,,,,,,,,,,
Chicago Blackhawks,2005-11-04,0,1,9,0.0,75.0,19.0,40.0,45.3,Dallas Stars,@,,,,,,,,,,,,,,,
