team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Washington Capitals,2005-10-05,2,3,2,25.0,100.0,19.0,37.0,47.5,Columbus Blue Jackets,vs,,,,,,,,,,,,,,,
Washington Capitals,2005-10-07,0,3,7,28.6,50.0,22.0,39.0,44.4,Atlanta Thrashers,vs,,,,,,,,,,,,,,,
Washington Capitals,2005-10-08,0,1,8,11.1,73.3,20.0,42.0,56.1,Atlanta Thrashers,@,,,,,,,,,,,,,,,
Washington Capitals,2005-10-10,2,3,2,20.0,75.0,28.0,32.0,43.6,New York Rangers,vs,,,,,,,,,,,,,,,
Washington Capitals,2005-10-12,0,2,7,0.0,57.1,28.0,36.0,34.6,Carolina Hurricanes,@,,,,,,,,,,,,,,,
Washington Capitals,2005-10-13,0,3,5,0.0,100.0,29.0,49.0,54.7,New York Islanders,vs,,,,,,,,,,,,,,,
Washington Capitals,2005-10-16,2,2,2,0.0,87.5,14.0,40.0,53.6,Tampa Bay Lightning,vs,,,,,,,,,,,,,,,
Washington Capitals,2005-10-20,0,2,3,0.0,50.0,31.0,49.0,50.8,Florida Panthers,@,,,,,,,,,,,,,,,
Washington Capitals,2005-10-22,0,0,4,0.0,75.0,18.0,41.0,46.8,Carolina Hurricanes,vs,,,,,,,,,,,,,,,
Washington Capitals,2005-10-26,2,3,2,14.3,66.7,28.0,17.0,56.9,Buffalo Sabres,@,,,,,,,,,,,,,,,
Washington Capitals,2005-10-28,0,2,4,0.0,87.5,14.0,28.0,42.1,Tampa Bay Lightning,@,,,,,,,,,,,,,,,
Washington Capitals,2005-11-03,0,1,8,0.0,75.0,30.0,43.0,49.3,Philadelphia Flyers,@,,,,,,,,,,,,,,,
